column,USEFUL,type
patient.drugs.drug-12.therapy_ongoing,N,
patient.drugs.drug-12.therapy_types.therapy_type,N,
patient.drugs.drug-12.therapy_types.therapy_type_notes,N,
patient.drugs.drug-12.total_dose,N,
patient.drugs.drug-12.total_dose_units,N,
patient.drugs.drug-12.tx_on_clinical_trial,N,
patient.drugs.drug-12.year_of_form_completion,N,
patient.drugs.drug-13.bcr_drug_barcode,N,
patient.drugs.drug-13.bcr_drug_uuid,N,
patient.drugs.drug-13.clinical_trail_drug_classification,N,
patient.drugs.drug-13.day_of_form_completion,N,
patient.drugs.drug-13.days_to_drug_therapy_end,N,
patient.drugs.drug-13.days_to_drug_therapy_start,N,
patient.drugs.drug-13.drug_name,N,
patient.drugs.drug-13.measure_of_response,N,
patient.drugs.drug-13.month_of_form_completion,N,
patient.drugs.drug-13.number_cycles,N,
patient.drugs.drug-13.prescribed_dose,N,
patient.drugs.drug-13.prescribed_dose_units,N,
patient.drugs.drug-13.regimen_indication,N,
patient.drugs.drug-13.regimen_indication_notes,N,
patient.drugs.drug-13.regimen_number,N,
patient.drugs.drug-13.route_of_administrations.route_of_administration,N,
patient.drugs.drug-13.therapy_ongoing,N,
patient.drugs.drug-13.therapy_types.therapy_type,N,
patient.drugs.drug-13.therapy_types.therapy_type_notes,N,
patient.drugs.drug-13.total_dose,N,
patient.drugs.drug-13.total_dose_units,N,
patient.drugs.drug-13.tx_on_clinical_trial,N,
patient.drugs.drug-13.year_of_form_completion,N,
patient.drugs.drug-14.bcr_drug_barcode,N,
patient.drugs.drug-14.bcr_drug_uuid,N,
patient.drugs.drug-14.clinical_trail_drug_classification,N,
patient.drugs.drug-14.day_of_form_completion,N,
patient.drugs.drug-14.days_to_drug_therapy_end,N,
patient.drugs.drug-14.days_to_drug_therapy_start,N,
patient.drugs.drug-14.drug_name,N,
patient.drugs.drug-14.measure_of_response,N,
patient.drugs.drug-14.month_of_form_completion,N,
patient.drugs.drug-14.number_cycles,N,
patient.drugs.drug-14.prescribed_dose,N,
patient.drugs.drug-14.prescribed_dose_units,N,
patient.drugs.drug-14.regimen_indication,N,
patient.drugs.drug-14.regimen_indication_notes,N,
patient.drugs.drug-14.regimen_number,N,
patient.drugs.drug-14.route_of_administrations.route_of_administration,N,
patient.drugs.drug-14.therapy_ongoing,N,
patient.drugs.drug-14.therapy_types.therapy_type,N,
patient.drugs.drug-14.therapy_types.therapy_type_notes,N,
patient.drugs.drug-14.total_dose,N,
patient.drugs.drug-14.total_dose_units,N,
patient.drugs.drug-14.tx_on_clinical_trial,N,
patient.drugs.drug-14.year_of_form_completion,N,
patient.drugs.drug-15.bcr_drug_barcode,N,
patient.drugs.drug-15.bcr_drug_uuid,N,
patient.drugs.drug-15.clinical_trail_drug_classification,N,
patient.drugs.drug-15.day_of_form_completion,N,
patient.drugs.drug-15.days_to_drug_therapy_end,N,
patient.drugs.drug-15.days_to_drug_therapy_start,N,
patient.drugs.drug-15.drug_name,N,
patient.drugs.drug-15.measure_of_response,N,
patient.drugs.drug-15.month_of_form_completion,N,
patient.drugs.drug-15.number_cycles,N,
patient.drugs.drug-15.prescribed_dose,N,
patient.drugs.drug-15.prescribed_dose_units,N,
patient.drugs.drug-15.regimen_indication,N,
patient.drugs.drug-15.regimen_indication_notes,N,
patient.drugs.drug-15.regimen_number,N,
patient.drugs.drug-15.route_of_administrations.route_of_administration,N,
patient.drugs.drug-15.therapy_ongoing,N,
patient.drugs.drug-15.therapy_types.therapy_type,N,
patient.drugs.drug-15.therapy_types.therapy_type_notes,N,
patient.drugs.drug-15.total_dose,N,
patient.drugs.drug-15.total_dose_units,N,
patient.drugs.drug-15.tx_on_clinical_trial,N,
patient.drugs.drug-15.year_of_form_completion,N,
patient.drugs.drug-16.bcr_drug_barcode,N,
patient.drugs.drug-16.bcr_drug_uuid,N,
patient.drugs.drug-16.clinical_trail_drug_classification,N,
patient.drugs.drug-16.day_of_form_completion,N,
patient.drugs.drug-16.days_to_drug_therapy_end,N,
patient.drugs.drug-16.days_to_drug_therapy_start,N,
patient.drugs.drug-16.drug_name,N,
patient.drugs.drug-16.measure_of_response,N,
patient.drugs.drug-16.month_of_form_completion,N,
patient.drugs.drug-16.number_cycles,N,
patient.drugs.drug-16.prescribed_dose,N,
patient.drugs.drug-16.prescribed_dose_units,N,
patient.drugs.drug-16.regimen_indication,N,
patient.drugs.drug-16.regimen_indication_notes,N,
patient.drugs.drug-16.regimen_number,N,
patient.drugs.drug-16.route_of_administrations.route_of_administration,N,
patient.drugs.drug-16.therapy_ongoing,N,
patient.drugs.drug-16.therapy_types.therapy_type,N,
patient.drugs.drug-16.therapy_types.therapy_type_notes,N,
patient.drugs.drug-16.total_dose,N,
patient.drugs.drug-16.total_dose_units,N,
patient.drugs.drug-16.tx_on_clinical_trial,N,
patient.drugs.drug-16.year_of_form_completion,N,
patient.drugs.drug-17.bcr_drug_barcode,N,
patient.drugs.drug-17.bcr_drug_uuid,N,
patient.drugs.drug-17.clinical_trail_drug_classification,N,
patient.drugs.drug-17.day_of_form_completion,N,
patient.drugs.drug-17.days_to_drug_therapy_end,N,
patient.drugs.drug-17.days_to_drug_therapy_start,N,
patient.drugs.drug-17.drug_name,N,
patient.drugs.drug-17.measure_of_response,N,
patient.drugs.drug-17.month_of_form_completion,N,
patient.drugs.drug-17.number_cycles,N,
patient.drugs.drug-17.prescribed_dose,N,
patient.drugs.drug-17.prescribed_dose_units,N,
patient.drugs.drug-17.regimen_indication,N,
patient.drugs.drug-17.regimen_indication_notes,N,
patient.drugs.drug-17.regimen_number,N,
patient.drugs.drug-17.route_of_administrations.route_of_administration,N,
patient.drugs.drug-17.therapy_ongoing,N,
patient.drugs.drug-17.therapy_types.therapy_type,N,
patient.drugs.drug-17.therapy_types.therapy_type_notes,N,
patient.drugs.drug-17.total_dose,N,
patient.drugs.drug-17.total_dose_units,N,
patient.drugs.drug-17.tx_on_clinical_trial,N,
patient.drugs.drug-17.year_of_form_completion,N,
patient.drugs.drug-18.bcr_drug_barcode,N,
patient.drugs.drug-18.bcr_drug_uuid,N,
patient.drugs.drug-18.clinical_trail_drug_classification,N,
patient.drugs.drug-18.day_of_form_completion,N,
patient.drugs.drug-18.days_to_drug_therapy_end,N,
patient.drugs.drug-18.days_to_drug_therapy_start,N,
patient.drugs.drug-18.drug_name,N,
patient.drugs.drug-18.measure_of_response,N,
patient.drugs.drug-18.month_of_form_completion,N,
patient.drugs.drug-18.number_cycles,N,
patient.drugs.drug-18.prescribed_dose,N,
patient.drugs.drug-18.prescribed_dose_units,N,
patient.drugs.drug-18.regimen_indication,N,
patient.drugs.drug-18.regimen_indication_notes,N,
patient.drugs.drug-18.regimen_number,N,
patient.drugs.drug-18.route_of_administrations.route_of_administration,N,
patient.drugs.drug-18.therapy_ongoing,N,
patient.drugs.drug-18.therapy_types.therapy_type,N,
patient.drugs.drug-18.therapy_types.therapy_type_notes,N,
patient.drugs.drug-18.total_dose,N,
patient.drugs.drug-18.total_dose_units,N,
patient.drugs.drug-18.tx_on_clinical_trial,N,
patient.drugs.drug-18.year_of_form_completion,N,
patient.drugs.drug-19.bcr_drug_barcode,N,
patient.drugs.drug-19.bcr_drug_uuid,N,
patient.drugs.drug-19.clinical_trail_drug_classification,N,
patient.drugs.drug-19.day_of_form_completion,N,
patient.drugs.drug-19.days_to_drug_therapy_end,N,
patient.drugs.drug-19.days_to_drug_therapy_start,N,
patient.drugs.drug-19.drug_name,N,
patient.drugs.drug-19.measure_of_response,N,
patient.drugs.drug-19.month_of_form_completion,N,
patient.drugs.drug-19.number_cycles,N,
patient.drugs.drug-19.prescribed_dose,N,
patient.drugs.drug-19.prescribed_dose_units,N,
patient.drugs.drug-19.regimen_indication,N,
patient.drugs.drug-19.regimen_indication_notes,N,
patient.drugs.drug-19.regimen_number,N,
patient.drugs.drug-19.route_of_administrations.route_of_administration,N,
patient.drugs.drug-19.therapy_ongoing,N,
patient.drugs.drug-19.therapy_types.therapy_type,N,
patient.drugs.drug-19.therapy_types.therapy_type_notes,N,
patient.drugs.drug-19.total_dose,N,
patient.drugs.drug-19.total_dose_units,N,
patient.drugs.drug-19.tx_on_clinical_trial,N,
patient.drugs.drug-19.year_of_form_completion,N,
patient.drugs.drug-2.bcr_drug_barcode,N,
patient.drugs.drug-2.bcr_drug_uuid,N,
patient.drugs.drug-2.clinical_trail_drug_classification,N,
patient.drugs.drug-2.day_of_form_completion,N,
patient.drugs.drug-2.days_to_drug_therapy_end,N,
patient.drugs.drug-2.days_to_drug_therapy_start,N,
patient.drugs.drug-2.drug_name,N,
patient.drugs.drug-2.measure_of_response,N,
patient.drugs.drug-2.month_of_form_completion,N,
patient.drugs.drug-2.number_cycles,N,
patient.drugs.drug-2.prescribed_dose,N,
patient.drugs.drug-2.prescribed_dose_units,N,
patient.drugs.drug-2.regimen_indication,N,
patient.drugs.drug-2.regimen_indication_notes,N,
patient.drugs.drug-2.regimen_number,N,
patient.drugs.drug-2.route_of_administrations.route_of_administration,N,
patient.drugs.drug-2.therapy_ongoing,N,
patient.drugs.drug-2.therapy_types.therapy_type,N,
patient.drugs.drug-2.therapy_types.therapy_type_notes,N,
patient.drugs.drug-2.total_dose,N,
patient.drugs.drug-2.total_dose_units,N,
patient.drugs.drug-2.tx_on_clinical_trial,N,
patient.drugs.drug-2.year_of_form_completion,N,
patient.drugs.drug-20.bcr_drug_barcode,N,
patient.drugs.drug-20.bcr_drug_uuid,N,
patient.drugs.drug-20.clinical_trail_drug_classification,N,
patient.drugs.drug-20.day_of_form_completion,N,
patient.drugs.drug-20.days_to_drug_therapy_end,N,
patient.drugs.drug-20.days_to_drug_therapy_start,N,
patient.drugs.drug-20.drug_name,N,
patient.drugs.drug-20.measure_of_response,N,
patient.drugs.drug-20.month_of_form_completion,N,
patient.drugs.drug-20.number_cycles,N,
patient.drugs.drug-20.prescribed_dose,N,
patient.drugs.drug-20.prescribed_dose_units,N,
patient.drugs.drug-20.regimen_indication,N,
patient.drugs.drug-20.regimen_indication_notes,N,
patient.drugs.drug-20.regimen_number,N,
patient.drugs.drug-20.route_of_administrations.route_of_administration,N,
patient.drugs.drug-20.therapy_ongoing,N,
patient.drugs.drug-20.therapy_types.therapy_type,N,
patient.drugs.drug-20.therapy_types.therapy_type_notes,N,
patient.drugs.drug-20.total_dose,N,
patient.drugs.drug-20.total_dose_units,N,
patient.drugs.drug-20.tx_on_clinical_trial,N,
patient.drugs.drug-20.year_of_form_completion,N,
patient.drugs.drug-21.bcr_drug_barcode,N,
patient.drugs.drug-21.bcr_drug_uuid,N,
patient.drugs.drug-21.clinical_trail_drug_classification,N,
patient.drugs.drug-21.day_of_form_completion,N,
patient.drugs.drug-21.days_to_drug_therapy_end,N,
patient.drugs.drug-21.days_to_drug_therapy_start,N,
patient.drugs.drug-21.drug_name,N,
patient.drugs.drug-21.measure_of_response,N,
patient.drugs.drug-21.month_of_form_completion,N,
patient.drugs.drug-21.number_cycles,N,
patient.drugs.drug-21.prescribed_dose,N,
patient.drugs.drug-21.prescribed_dose_units,N,
patient.drugs.drug-21.regimen_indication,N,
patient.drugs.drug-21.regimen_indication_notes,N,
patient.drugs.drug-21.regimen_number,N,
patient.drugs.drug-21.route_of_administrations.route_of_administration,N,
patient.drugs.drug-21.therapy_ongoing,N,
patient.drugs.drug-21.therapy_types.therapy_type,N,
patient.drugs.drug-21.therapy_types.therapy_type_notes,N,
patient.drugs.drug-21.total_dose,N,
patient.drugs.drug-21.total_dose_units,N,
patient.drugs.drug-21.tx_on_clinical_trial,N,
patient.drugs.drug-21.year_of_form_completion,N,
patient.drugs.drug-22.bcr_drug_barcode,N,
patient.drugs.drug-22.bcr_drug_uuid,N,
patient.drugs.drug-22.clinical_trail_drug_classification,N,
patient.drugs.drug-22.day_of_form_completion,N,
patient.drugs.drug-22.days_to_drug_therapy_end,N,
patient.drugs.drug-22.days_to_drug_therapy_start,N,
patient.drugs.drug-22.drug_name,N,
patient.drugs.drug-22.measure_of_response,N,
patient.drugs.drug-22.month_of_form_completion,N,
patient.drugs.drug-22.number_cycles,N,
patient.drugs.drug-22.prescribed_dose,N,
patient.drugs.drug-22.prescribed_dose_units,N,
patient.drugs.drug-22.regimen_indication,N,
patient.drugs.drug-22.regimen_indication_notes,N,
patient.drugs.drug-22.regimen_number,N,
patient.drugs.drug-22.route_of_administrations.route_of_administration,N,
patient.drugs.drug-22.therapy_ongoing,N,
patient.drugs.drug-22.therapy_types.therapy_type,N,
patient.drugs.drug-22.therapy_types.therapy_type_notes,N,
patient.drugs.drug-22.total_dose,N,
patient.drugs.drug-22.total_dose_units,N,
patient.drugs.drug-22.tx_on_clinical_trial,N,
patient.drugs.drug-22.year_of_form_completion,N,
patient.drugs.drug-23.bcr_drug_barcode,N,
patient.drugs.drug-23.bcr_drug_uuid,N,
patient.drugs.drug-23.clinical_trail_drug_classification,N,
patient.drugs.drug-23.day_of_form_completion,N,
patient.drugs.drug-23.days_to_drug_therapy_end,N,
patient.drugs.drug-23.days_to_drug_therapy_start,N,
patient.drugs.drug-23.drug_name,N,
patient.drugs.drug-23.measure_of_response,N,
patient.drugs.drug-23.month_of_form_completion,N,
patient.drugs.drug-23.number_cycles,N,
patient.drugs.drug-23.prescribed_dose,N,
patient.drugs.drug-23.prescribed_dose_units,N,
patient.drugs.drug-23.regimen_indication,N,
patient.drugs.drug-23.regimen_indication_notes,N,
patient.drugs.drug-23.regimen_number,N,
patient.drugs.drug-23.route_of_administrations.route_of_administration,N,
patient.drugs.drug-23.therapy_ongoing,N,
patient.drugs.drug-23.therapy_types.therapy_type,N,
patient.drugs.drug-23.therapy_types.therapy_type_notes,N,
patient.drugs.drug-23.total_dose,N,
patient.drugs.drug-23.total_dose_units,N,
patient.drugs.drug-23.tx_on_clinical_trial,N,
patient.drugs.drug-23.year_of_form_completion,N,
patient.drugs.drug-3.bcr_drug_barcode,N,
patient.drugs.drug-3.bcr_drug_uuid,N,
patient.drugs.drug-3.clinical_trail_drug_classification,N,
patient.drugs.drug-3.day_of_form_completion,N,
patient.drugs.drug-3.days_to_drug_therapy_end,N,
patient.drugs.drug-3.days_to_drug_therapy_start,N,
patient.drugs.drug-3.drug_name,N,
patient.drugs.drug-3.measure_of_response,N,
patient.drugs.drug-3.month_of_form_completion,N,
patient.drugs.drug-3.number_cycles,N,
patient.drugs.drug-3.prescribed_dose,N,
patient.drugs.drug-3.prescribed_dose_units,N,
patient.drugs.drug-3.regimen_indication,N,
patient.drugs.drug-3.regimen_indication_notes,N,
patient.drugs.drug-3.regimen_number,N,
patient.drugs.drug-3.route_of_administrations.route_of_administration,N,
patient.drugs.drug-3.therapy_ongoing,N,
patient.drugs.drug-3.therapy_types.therapy_type,N,
patient.drugs.drug-3.therapy_types.therapy_type_notes,N,
patient.drugs.drug-3.total_dose,N,
patient.drugs.drug-3.total_dose_units,N,
patient.drugs.drug-3.tx_on_clinical_trial,N,
patient.drugs.drug-3.year_of_form_completion,N,
patient.drugs.drug-4.bcr_drug_barcode,N,
patient.drugs.drug-4.bcr_drug_uuid,N,
patient.drugs.drug-4.clinical_trail_drug_classification,N,
patient.drugs.drug-4.day_of_form_completion,N,
patient.drugs.drug-4.days_to_drug_therapy_end,N,
patient.drugs.drug-4.days_to_drug_therapy_start,N,
patient.drugs.drug-4.drug_name,N,
patient.drugs.drug-4.measure_of_response,N,
patient.drugs.drug-4.month_of_form_completion,N,
patient.drugs.drug-4.number_cycles,N,
patient.drugs.drug-4.prescribed_dose,N,
patient.drugs.drug-4.prescribed_dose_units,N,
patient.drugs.drug-4.regimen_indication,N,
patient.drugs.drug-4.regimen_indication_notes,N,
patient.drugs.drug-4.regimen_number,N,
patient.drugs.drug-4.route_of_administrations.route_of_administration,N,
patient.drugs.drug-4.route_of_administrations.route_of_administration-2,N,
patient.drugs.drug-4.therapy_ongoing,N,
patient.drugs.drug-4.therapy_types.therapy_type,N,
patient.drugs.drug-4.therapy_types.therapy_type_notes,N,
patient.drugs.drug-4.total_dose,N,
patient.drugs.drug-4.total_dose_units,N,
patient.drugs.drug-4.tx_on_clinical_trial,N,
patient.drugs.drug-4.year_of_form_completion,N,
patient.drugs.drug-5.bcr_drug_barcode,N,
patient.drugs.drug-5.bcr_drug_uuid,N,
patient.drugs.drug-5.clinical_trail_drug_classification,N,
patient.drugs.drug-5.day_of_form_completion,N,
patient.drugs.drug-5.days_to_drug_therapy_end,N,
patient.drugs.drug-5.days_to_drug_therapy_start,N,
patient.drugs.drug-5.drug_name,N,
patient.drugs.drug-5.measure_of_response,N,
patient.drugs.drug-5.month_of_form_completion,N,
patient.drugs.drug-5.number_cycles,N,
patient.drugs.drug-5.prescribed_dose,N,
patient.drugs.drug-5.prescribed_dose_units,N,
patient.drugs.drug-5.regimen_indication,N,
patient.drugs.drug-5.regimen_indication_notes,N,
patient.drugs.drug-5.regimen_number,N,
patient.drugs.drug-5.route_of_administrations.route_of_administration,N,
patient.drugs.drug-5.therapy_ongoing,N,
patient.drugs.drug-5.therapy_types.therapy_type,N,
patient.drugs.drug-5.therapy_types.therapy_type_notes,N,
patient.drugs.drug-5.total_dose,N,
patient.drugs.drug-5.total_dose_units,N,
patient.drugs.drug-5.tx_on_clinical_trial,N,
patient.drugs.drug-5.year_of_form_completion,N,
patient.drugs.drug-6.bcr_drug_barcode,N,
patient.drugs.drug-6.bcr_drug_uuid,N,
patient.drugs.drug-6.clinical_trail_drug_classification,N,
patient.drugs.drug-6.day_of_form_completion,N,
patient.drugs.drug-6.days_to_drug_therapy_end,N,
patient.drugs.drug-6.days_to_drug_therapy_start,N,
patient.drugs.drug-6.drug_name,N,
patient.drugs.drug-6.measure_of_response,N,
patient.drugs.drug-6.month_of_form_completion,N,
patient.drugs.drug-6.number_cycles,N,
patient.drugs.drug-6.prescribed_dose,N,
patient.drugs.drug-6.prescribed_dose_units,N,
patient.drugs.drug-6.regimen_indication,N,
patient.drugs.drug-6.regimen_indication_notes,N,
patient.drugs.drug-6.regimen_number,N,
patient.drugs.drug-6.route_of_administrations.route_of_administration,N,
patient.drugs.drug-6.therapy_ongoing,N,
patient.drugs.drug-6.therapy_types.therapy_type,N,
patient.drugs.drug-6.therapy_types.therapy_type_notes,N,
patient.drugs.drug-6.total_dose,N,
patient.drugs.drug-6.total_dose_units,N,
patient.drugs.drug-6.tx_on_clinical_trial,N,
patient.drugs.drug-6.year_of_form_completion,N,
patient.drugs.drug-7.bcr_drug_barcode,N,
patient.drugs.drug-7.bcr_drug_uuid,N,
patient.drugs.drug-7.clinical_trail_drug_classification,N,
patient.drugs.drug-7.day_of_form_completion,N,
patient.drugs.drug-7.days_to_drug_therapy_end,N,
patient.drugs.drug-7.days_to_drug_therapy_start,N,
patient.drugs.drug-7.drug_name,N,
patient.drugs.drug-7.measure_of_response,N,
patient.drugs.drug-7.month_of_form_completion,N,
patient.drugs.drug-7.number_cycles,N,
patient.drugs.drug-7.prescribed_dose,N,
patient.drugs.drug-7.prescribed_dose_units,N,
patient.drugs.drug-7.regimen_indication,N,
patient.drugs.drug-7.regimen_indication_notes,N,
patient.drugs.drug-7.regimen_number,N,
patient.drugs.drug-7.route_of_administrations.route_of_administration,N,
patient.drugs.drug-7.therapy_ongoing,N,
patient.drugs.drug-7.therapy_types.therapy_type,N,
patient.drugs.drug-7.therapy_types.therapy_type_notes,N,
patient.drugs.drug-7.total_dose,N,
patient.drugs.drug-7.total_dose_units,N,
patient.drugs.drug-7.tx_on_clinical_trial,N,
patient.drugs.drug-7.year_of_form_completion,N,
patient.drugs.drug-8.bcr_drug_barcode,N,
patient.drugs.drug-8.bcr_drug_uuid,N,
patient.drugs.drug-8.clinical_trail_drug_classification,N,
patient.drugs.drug-8.day_of_form_completion,N,
patient.drugs.drug-8.days_to_drug_therapy_end,N,
patient.drugs.drug-8.days_to_drug_therapy_start,N,
patient.drugs.drug-8.drug_name,N,
patient.drugs.drug-8.measure_of_response,N,
patient.drugs.drug-8.month_of_form_completion,N,
patient.drugs.drug-8.number_cycles,N,
patient.drugs.drug-8.prescribed_dose,N,
patient.drugs.drug-8.prescribed_dose_units,N,
patient.drugs.drug-8.regimen_indication,N,
patient.drugs.drug-8.regimen_indication_notes,N,
patient.drugs.drug-8.regimen_number,N,
patient.drugs.drug-8.route_of_administrations.route_of_administration,N,
patient.drugs.drug-8.therapy_ongoing,N,
patient.drugs.drug-8.therapy_types.therapy_type,N,
patient.drugs.drug-8.therapy_types.therapy_type_notes,N,
patient.drugs.drug-8.total_dose,N,
patient.drugs.drug-8.total_dose_units,N,
patient.drugs.drug-8.tx_on_clinical_trial,N,
patient.drugs.drug-8.year_of_form_completion,N,
patient.drugs.drug-9.bcr_drug_barcode,N,
patient.drugs.drug-9.bcr_drug_uuid,N,
patient.drugs.drug-9.clinical_trail_drug_classification,N,
patient.drugs.drug-9.day_of_form_completion,N,
patient.drugs.drug-9.days_to_drug_therapy_end,N,
patient.drugs.drug-9.days_to_drug_therapy_start,N,
patient.drugs.drug-9.drug_name,N,
patient.drugs.drug-9.measure_of_response,N,
patient.drugs.drug-9.month_of_form_completion,N,
patient.drugs.drug-9.number_cycles,N,
patient.drugs.drug-9.prescribed_dose,N,
patient.drugs.drug-9.prescribed_dose_units,N,
patient.drugs.drug-9.regimen_indication,N,
patient.drugs.drug-9.regimen_indication_notes,N,
patient.drugs.drug-9.regimen_number,N,
patient.drugs.drug-9.route_of_administrations.route_of_administration,N,
patient.drugs.drug-9.therapy_ongoing,N,
patient.drugs.drug-9.therapy_types.therapy_type,N,
patient.drugs.drug-9.therapy_types.therapy_type_notes,N,
patient.drugs.drug-9.total_dose,N,
patient.drugs.drug-9.total_dose_units,N,
patient.drugs.drug-9.tx_on_clinical_trial,N,
patient.drugs.drug-9.year_of_form_completion,N,
patient.drugs.drug.bcr_drug_barcode,N,
patient.drugs.drug.bcr_drug_uuid,N,
patient.drugs.drug.clinical_trail_drug_classification,N,
patient.drugs.drug.day_of_form_completion,N,
patient.drugs.drug.days_to_drug_therapy_end,N,
patient.drugs.drug.days_to_drug_therapy_start,N,
patient.drugs.drug.drug_name,N,
patient.drugs.drug.measure_of_response,N,
patient.drugs.drug.month_of_form_completion,N,
patient.drugs.drug.number_cycles,N,
patient.drugs.drug.prescribed_dose,N,
patient.drugs.drug.prescribed_dose_units,N,
patient.drugs.drug.regimen_indication,N,
patient.drugs.drug.regimen_indication_notes,N,
patient.drugs.drug.regimen_number,N,
patient.drugs.drug.route_of_administrations.route_of_administration,N,
patient.drugs.drug.route_of_administrations.route_of_administration-2,N,
patient.drugs.drug.therapy_ongoing,N,
patient.drugs.drug.therapy_types.therapy_type,N,
patient.drugs.drug.therapy_types.therapy_type-2,N,
patient.drugs.drug.therapy_types.therapy_type_notes,N,
patient.drugs.drug.total_dose,N,
patient.drugs.drug.total_dose_units,N,
patient.drugs.drug.tx_on_clinical_trial,N,
